Tipo,Nombre,Dirección,Año ini.,Año fin,Género,Fuente:,letra,Numero,coordenada
Imprenta,Vallín,Calle de la Luna,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",c,7,c7
Librería,Don Bartolomé López,Plazuela de Santo Domingo,1784,1789,Hombre,Biblioteca periódica anual… (1785-1790),d,6,d6
Fundidor,sn,Calle del Caballero de Gracia,1799,1799,Hombre,"Almanak mercantil o guía de comerciantes…, 1800 ",d,9,d9
Imprenta,Imprenta de la Calle de la Greda,Calle de la Greda,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,10,f10
Imprenta,Tomás Albán,Calle de la Bola,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,6,f6
Librería,Bermudez,Calle de los Preciados,1785,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",f,7,f7
Librería,Millana,Calle de los Preciados,1788,1789,Hombre,Biblioteca periódica anual… (1785-1790),f,7,f7
Librería,Muscat,Calle de las Veneras,1786,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",f,7,f7
Puesto,Dámaso Noboa,Calle del Carmen,1784,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",f,7,f7
Librería,Tieso,Calle de los Preciados,1784,1787,Hombre,Biblioteca periódica anual… (1785-1790),f,7,f7
Librería,Soto,Calle de los Preciados,1806,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,7,f7
Imprenta,Imprenta Real de la Compañía de Impresores y Libreros,Calle de los Preciados,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,7,f7
Imprenta,Justo Sánchez,Calle de las Veneras,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,7,f7
Librería,Don Pascual López,Calle de la Montera,1784,1789,Hombre,Biblioteca periódica anual… (1785-1790),f,8,f8
Librería,Luna,Red de San Luis,1784,1785,Hombre,Biblioteca periódica anual… (1785-1790),f,8,f8
Librería,Luna,Calle de la Montera,1786,1789,Hombre,Biblioteca periódica anual… (1785-1790),f,8,f8
Librería,Pérez,Calle de la Montera,1786,1789,Hombre,Biblioteca periódica anual… (1785-1790),f,8,f8
Librería,Juan y Lorenzo San Martín,Calle de la Montera,1787,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",f,8,f8
Librería,Juan Yuste,Calle de la Zarza,1803,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,8,f8
Imprenta,Lorenzo San Martín,Calle de la Montera,1789,1808,Hombre,"Cavaillon, 2019, anexo VIII",f,8,f8
Librería,Miguel Copin,Carrera de San Gerónimo,1784,1796,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",g ,8,g 8
Librería,Miguel Copin (Facundo Ramos de Aguilera),Carrera de San Gerónimo,1797,1808,Hombre,"Cavaillon, 2019, anexo VIII",g ,8,g 8
Librería,Don Bernardo Alverá,Carrera de San Gerónimo,1784,1785,Hombre,Biblioteca periódica anual… (1785-1790),g ,8,g 8
Librería,Don Bernardo Alverá (viuda de),Carrera de San Gerónimo,1786,1789,Mujer,Biblioteca periódica anual… (1785-1790),g ,8,g 8
Librería,Don Joseph Herrera,Carrera de San Gerónimo,1784,1789,Hombre,Biblioteca periódica anual… (1785-1790),g ,8,g 8
Librería,Mafeo,Carrera de San Gerónimo,1784,1789,Hombre,Biblioteca periódica anual… (1785-1790),g ,8,g 8
Librería,Fermín Nicasio,Carrera de San Gerónimo,1784,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",g ,8,g 8
Librería,Espinosa,Calle del Espejo,1788,1789,Hombre,Biblioteca periódica anual… (1785-1790),g,6,g6
Imprenta ,Antonio Espinosa,Calle del Espejo,1788,1789,Hombre,"Cavaillon, 2019, anexo VIII",g,6,g6
Fundidor,sn,Calle del Espejo,1799,1799,Hombre,"Almanak mercantil o guía de comerciantes…, 1800 ",g,6,g6
Librería,Thevin,Calle del Arenal,1787,1787,Hombre,Biblioteca periódica anual… (1785-1790),g,7,g7
Librería,Thevin (viuda de),Calle del Arenal,1788,1808,Mujer,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",g,7,g7
Librería,Aguado,Calle de la Paz,1784,1808,Hombre,"Biblioteca periódica anual… (1785-1790); Cavaillon, 2019, anexo VIII",g,8,g8
Librería,Angelina,Calle de la Paz,1786,1788,Hombre,Biblioteca periódica anual… (1785-1790),g,8,g8
